Timestamp,UserEmail,Query,Bot Response,Accuracy
2024-04-16 01:09:10.882697,n@gmail.com,hi,"Hi there, what can I do for you?",0.9998644590377808
2024-04-16 01:09:12.721689,n@gmail.com,hello,"Hi there, what can I do for you?",0.9998389482498169
2024-04-16 01:09:15.381264,n@gmail.com,how are you,"Hi there, what can I do for you?",0.9999850988388062
2024-04-16 01:09:18.252969,n@gmail.com,hi,Hey :-),0.9998644590377808
2024-04-16 01:09:23.043145,n@gmail.com,dsa,I do not understand...,0.6072810292243958
2024-04-16 01:09:27.684704,n@gmail.com,cost of dsa,$100,0.9991858601570129
2024-04-16 01:09:37.241556,n@gmail.com,is dsa course fast paced,I do not understand...,0.8722613453865051
2024-04-16 01:09:45.725241,n@gmail.com,dsa course fast paced,I do not understand...,0.7988538146018982
2024-04-16 01:09:55.562155,n@gmail.com,dsa course emi option,EMI options available.,0.9998098015785217
2024-04-16 01:10:16.953093,n@gmail.com,learning pace of dsa course,Its a self-paced course.,0.9989738464355469
2024-04-16 01:11:03.022727,n@gmail.com,pre requisites,I do not understand...,0.4895763099193573
2024-04-16 01:11:11.868546,n@gmail.com,prereqs of dsa course,I do not understand...,0.7399545311927795
2024-04-16 01:11:21.216368,n@gmail.com,starting dsa course,Basic understanding of programming concepts.,0.9995381832122803
2024-04-16 01:11:27.465721,n@gmail.com,duration ,I do not understand...,0.7997130155563354
2024-04-16 01:11:36.980704,n@gmail.com,how long to complete dsa,Completion time varies based on individual pace.,0.9697222113609314
2024-04-16 01:20:22.892816,n@gmail.com,hi,I do not understand...,0.588651716709137
2024-04-16 01:20:26.321352,n@gmail.com,hello,I do not understand...,0.588651716709137
2024-04-16 01:21:12.030768,n@gmail.com,hi,I do not understand...,0.588651716709137
2024-04-16 01:21:13.743664,n@gmail.com,hello,I do not understand...,0.588651716709137
2024-04-16 01:23:16.466031,n@gmail.com,hello,"Hi there, what can I do for you?",0.999830961227417
2024-04-16 01:23:18.090213,n@gmail.com,hi,"Hi there, how can I help?",0.9997746348381042
2024-04-16 01:23:23.725854,n@gmail.com,dsa self paced,I do not understand...,0.8550119996070862
2024-04-16 01:23:27.325377,n@gmail.com,dsa cost,$100,0.9999405145645142
2024-04-16 01:23:34.402613,n@gmail.com,dsa course emi option,EMI options available.,0.9999580383300781
2024-04-16 01:23:42.132257,n@gmail.com,dsa course pace,I do not understand...,0.742435097694397
2024-04-16 01:23:48.882571,n@gmail.com,dsa course learning pace,Its a self-paced course.,0.9995137453079224
2024-04-16 01:24:30.260767,n@gmail.com,how long dsa course to complete,Completion time varies based on individual pace.,0.9719057679176331
2024-04-16 01:24:41.208942,n@gmail.com,doubt support of dsa course,Dedicated doubt support forum and live doubt sessions.,0.9999895095825195
2024-04-16 01:24:45.396491,n@gmail.com,no ,I do not understand...,0.892942488193512
2024-04-16 01:24:52.195391,n@gmail.com,wow,I do not understand...,0.892942488193512
2024-04-16 01:24:53.370561,n@gmail.com,no,I do not understand...,0.892942488193512
2024-04-16 01:24:54.396939,n@gmail.com,fsdf,I do not understand...,0.892942488193512
2024-04-16 01:24:55.564129,n@gmail.com,fewfwe,I do not understand...,0.892942488193512
2024-04-16 01:24:55.790242,n@gmail.com,f,I do not understand...,0.892942488193512
2024-04-16 01:24:59.621484,n@gmail.com,dsa cost,$100,0.9999405145645142
2024-04-16 01:25:01.265972,n@gmail.com,no,I do not understand...,0.892942488193512
2024-04-16 01:25:05.581181,n@gmail.com,1,I do not understand...,0.892942488193512
2024-04-16 02:49:05.386148,n@gmail.com,Hello,Hey :-),0.999934196472168
2024-04-16 02:49:14.676428,n@gmail.com,Any DSA Course,I do not understand...,0.7945799231529236
2024-04-16 02:49:21.871150,n@gmail.com,DSA Course,I do not understand...,0.7945799231529236
2024-04-16 02:53:47.908593,n@gmail.com,How is the doubt support,I do not understand...,0.556276798248291
2024-04-16 02:54:03.557831,n@gmail.com,How is the doubt support,I do not understand...,0.556276798248291
2024-04-16 02:54:11.216654,n@gmail.com,doubt support,Dedicated doubt support forum and live doubt sessions.,0.9999324083328247
2024-04-16 08:55:58.062432,n@gmail.com,hi,"Hi there, what can I do for you?",0.9999635219573975
2024-04-16 08:56:00.472627,n@gmail.com,hello,"Hi there, what can I do for you?",0.9999706745147705
2024-04-16 08:56:02.618434,n@gmail.com,hi,Hey :-),0.9999635219573975
2024-04-16 08:56:10.308190,n@gmail.com,can i learn at my own pace,Its a self-paced course.,0.9999998807907104
2024-04-16 08:56:17.109595,n@gmail.com,doubt support,Dedicated doubt support forum and live doubt sessions.,0.9999794960021973
2024-04-16 08:56:20.789655,n@gmail.com,no,I do not understand...,0.6127032041549683
2024-04-16 08:56:22.048855,n@gmail.com,1,I do not understand...,0.6127032041549683
2024-04-16 08:56:29.883097,n@gmail.com,doubt support,Dedicated doubt support forum and live doubt sessions.,0.9999794960021973
2024-04-16 08:56:32.692444,n@gmail.com,no,I do not understand...,0.6127032041549683
2024-04-16 08:56:35.295283,n@gmail.com,3,I do not understand...,0.6127032041549683
2024-04-16 08:56:43.431780,n@gmail.com,doubt support,Dedicated doubt support forum and live doubt sessions.,0.9999794960021973
2024-04-16 08:56:45.615403,n@gmail.com,no,I do not understand...,0.6127032041549683
2024-04-16 08:56:46.240885,n@gmail.com,5,I do not understand...,0.6127032041549683
2024-04-16 08:57:35.367450,n@gmail.com,hello,"Hi there, what can I do for you?",0.9999706745147705
2024-04-16 08:57:36.726561,n@gmail.com,hello,Hey :-),0.9999706745147705
2024-04-16 08:57:37.165154,n@gmail.com,hello,"Hi there, how can I help?",0.9999706745147705
2024-04-16 08:57:37.336084,n@gmail.com,hello,"Hi there, what can I do for you?",0.9999706745147705
2024-04-16 08:57:37.493622,n@gmail.com,hello,"Hi there, how can I help?",0.9999706745147705
2024-04-16 08:58:52.269157,n@gmail.com,hello,"Hi there, how can I help?",0.9999706745147705
2024-04-16 08:58:56.823000,n@gmail.com,emi options,EMI options available.,0.9999871253967285
2024-04-16 08:59:00.424721,n@gmail.com,no,I do not understand...,0.6127032041549683
2024-04-16 08:59:01.332264,n@gmail.com,5,I do not understand...,0.6127032041549683
2024-04-16 08:59:03.559410,n@gmail.com,hi,Hey :-),0.9999635219573975
2024-04-16 09:03:04.311554,n@gmail.com,hello,"Hi there, how can I help?",0.9999706745147705
2024-04-16 09:03:05.362115,n@gmail.com,hi,Hey :-),0.9999635219573975
2024-04-16 09:03:07.474579,n@gmail.com,bye,Have a nice day,0.999962329864502
2024-04-16 09:03:10.644098,n@gmail.com,feedback,Testimonials available on the GeeksforGeeks website.,0.9401959776878357
